x,y
1060.0,372.0
1060.0,336.0
1061.0,297.0
1061.0,258.0
1060.0,222.0
1059.0,187.0
1059.0,148.0
1039.0,206.0
996.0,204.0
987.0,281.0
971.0,364.0
1082.0,204.0
1123.0,201.0
1132.0,279.0
1144.0,367.0
1030.0,371.0
1021.0,458.0
1009.0,558.0
972.0,575.0
1090.0,371.0
1093.0,458.0
1099.0,558.0
1139.0,575.0
